id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,accurate_back_zone_pass,accurate_chipped_pass,accurate_fwd_zone_pass,accurate_launches,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_through_ball,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,attempts_ibox,attempts_obox,att_assist_openplay,att_bx_left,att_goal_high_right,att_ibox_blocked,att_lf_total,att_miss_high,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obx_centre,att_one_on_one,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_sv_low_right,backward_pass,ball_recovery,big_chance_missed,blocked_pass,blocked_scoring_att,challenge_lost,clean_sheet,crosses_18yard,crosses_18yardplus,dispossessed,draws,duel_lost,duel_won,effective_clearance,effective_head_clearance,final_third_entries,fouls,fwd_pass,game_started,goals,goals_conceded,goals_conceded_ibox,goals_openplay,head_clearance,head_pass,interception,interception_won,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,shot_off_target,six_yard_block,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_distance_in_m,total_final_third_passes,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_pass,total_pull_back,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_through_ball,touches,touches_in_opp_box,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_tackle,accurate_cross,accurate_cross_nocorner,accurate_flick_on,accurate_throws,assist_own_goal,att_bx_centre,att_bx_right,att_cmiss_left,att_cmiss_right,att_fastbreak,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_miss,att_hd_target,att_hd_total,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_target,att_miss_high_left,att_miss_high_right,att_miss_left,att_obox_post,att_obp_goal,att_obx_right,att_post_right,att_setpiece,att_sv_high_left,att_sv_low_centre,big_chance_created,big_chance_scored,blocked_cross,clearance_off_line,dangerous_play,effective_blocked_cross,goals_conceded_obox,goal_assist,goal_assist_intentional,goal_assist_openplay,hand_ball,hit_woodwork,interceptions_in_box,offside_provoked,overrun,penalty_conceded,pen_goals_conceded,post_scoring_att,shield_ball_oop,shot_fastbreak,total_fastbreak,total_flick_on,total_offside,total_throws,won_corners,yellow_card,att_cmiss_high,att_goal_high_centre,att_goal_high_left,att_hd_goal,att_sv_low_left,error_lead_to_shot,fouled_final_third,goal_assist_setplay,own_goals,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,cross_not_claimed,dive_catch,dive_save,diving_save,gk_smother,goal_kicks,good_high_claim,keeper_pick_up,keeper_throws,penalty_faced,penalty_save,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,total_keeper_sweeper,att_assist_setplay,att_cmiss_high_right,att_lg_centre,att_sv_high_centre,att_sv_high_right,foul_throw_in,att_freekick_miss,att_freekick_total,att_ibox_post,error_lead_to_goal,last_man_tackle,freekick_cross,assist_attempt_saved,assist_free_kick_won,accurate_pull_back,corner_taken,times_tackled,winning_goal,accurate_corners_intobox,accurate_freekick_cross,goal_assist_deadball,second_goal_assist,total_corners_intobox,att_hd_post,red_card,second_yellow,att_post_high,assist_penalty_won,att_cmiss_high_left,penalty_won,att_freekick_goal,att_freekick_target,att_obxd_left,att_obx_left,goal_fastbreak,att_post_left,att_pen_goal,att_freekick_post,assist_blocked_shot,assist_handball_won,assist_pass_lost,assist_post,att_pen_post,att_pen_target,att_obxd_right,att_corner,rescinded_red_card,att_pen_miss,att_lg_right,att_lg_left
3642,183799.0,Diego Cavalieri,Diego,Cavalieri,1982-12-01,Brazil,Brazil,16.0,G,Goalkeeper,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4941,6883.0,Diego Costa,Diego,Da Silva Costa,1988-10-07,Brazil,Spain,19.0,F,Centre Striker,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4112,14109.0,Eric Dier,Eric,Dier,1994-01-15,England,England,15.0,D,Centre Central Defender,79,950.0,84.0,994.0,12.0,19.0,164.0,1939.0,1.0,62.0,83.0,34.0,16.0,191.0,94.0,17.0,15.0,13.0,0.0,,1.0,1.0,7.0,5.0,8.0,,5.0,2.0,15.0,,14.0,,3.0,20.0,1.0,225.0,170.0,1.0,50.0,9.0,25.0,13.0,9.0,17.0,17.0,7.0,127.0,163.0,82.0,46.0,332.0,23.0,732.0,32.0,,30.0,26.0,,46.0,156.0,48.0,48.0,720.0,321.0,236.0,6.0,17.0,2827.0,6.0,9.0,7.0,2196.0,11.0,169.0,323.0,73.0,368.0,368.0,6.0,73.0,91.0,50.0,571.0,16.0,,351.0,1891.0,21.0,15.0,1033.0,167.0,82.0,15.0,26.0,26.0,328689.8454589844,498.0,1241.0,45.0,19.0,261.0,2248.0,,32.0,5.0,2.0,61.0,2.0,2644.0,37.0,11.0,11.0,8.0,21.0,13.0,43.0,5.0,5.0,2.0,5.0,,15.0,1.0,,1.0,,,,,7.0,3.0,10.0,,10.0,5.0,,1.0,,1.0,2.0,,,,1.0,1.0,3.0,3.0,3.0,,11.0,,,11.0,4.0,2.0,2.0,2.0,,1.0,9.0,17.0,2.0,,1.0,1.0,,,,5.0,1.0,6.0,11.0,4.0,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3925,256645.0,Mame Biram Diouf,Mame Biram,Diouf,1987-12-16,Senegal,Senegal,92.0,F,Centre Striker,79,82.0,9.0,240.0,2.0,18.0,5.0,319.0,,160.0,145.0,35.0,19.0,246.0,166.0,50.0,9.0,18.0,0.0,1.0,10.0,10.0,3.0,7.0,2.0,0.0,4.0,3.0,8.0,1.0,42.0,2.0,6.0,29.0,2.0,98.0,75.0,7.0,53.0,12.0,13.0,3.0,31.0,3.0,33.0,11.0,250.0,240.0,70.0,43.0,85.0,38.0,227.0,30.0,6.0,49.0,42.0,4.0,43.0,210.0,14.0,14.0,157.0,49.0,11.0,17.0,7.0,2601.0,4.0,17.0,20.0,550.0,,49.0,191.0,46.0,394.0,394.0,10.0,39.0,26.0,53.0,76.0,27.0,1.0,141.0,312.0,22.0,21.0,117.0,20.0,70.0,26.0,34.0,34.0,283656.22497558594,287.0,475.0,13.0,23.0,24.0,558.0,1.0,59.0,11.0,5.0,48.0,,1048.0,95.0,53.0,53.0,39.0,7.0,11.0,36.0,3.0,3.0,34.0,25.0,1.0,29.0,9.0,3.0,3.0,,2.0,,1.0,11.0,6.0,18.0,6.0,23.0,11.0,3.0,2.0,1.0,3.0,13.0,,,,,6.0,2.0,5.0,3.0,4.0,6.0,,1.0,6.0,7.0,2.0,1.0,2.0,7.0,,1.0,,9.0,,3.0,,1.0,,,130.0,23.0,33.0,19.0,6.0,0.0,2.0,,1.0,3.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5577,130442.0,Brice Dja Djédjé,Brice,Dja Djédjé,1990-12-23,Cote D’Ivoire,Cote D’Ivoire,26.0,D,Right Full Back,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19678,303262.0,Domingos Quina,Domingos,Quina,1999-11-18,Guinea-Bissau,Portugal,28.0,M,Centre Attacking Midfielder,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13823,222694.0,Abdoulaye Doucouré,Abdoulaye,Doucouré,1993-01-01,Mali,Mali,16.0,M,Centre Central Midfielder,79,883.0,75.0,1000.0,9.0,27.0,84.0,1877.0,2.0,52.0,43.0,37.0,20.0,265.0,134.0,20.0,27.0,37.0,3.0,,6.0,12.0,2.0,6.0,4.0,2.0,15.0,5.0,26.0,,34.0,5.0,6.0,31.0,3.0,290.0,345.0,1.0,77.0,10.0,52.0,9.0,17.0,9.0,46.0,8.0,203.0,188.0,55.0,26.0,221.0,44.0,614.0,37.0,7.0,63.0,57.0,5.0,26.0,144.0,54.0,54.0,620.0,236.0,171.0,18.0,10.0,3325.0,18.0,22.0,17.0,2186.0,10.0,286.0,305.0,79.0,512.0,512.0,15.0,131.0,199.0,77.0,720.0,20.0,,463.0,1826.0,33.0,40.0,983.0,137.0,55.0,53.0,26.0,26.0,434650.4697265625,623.0,1287.0,32.0,29.0,142.0,2244.0,1.0,47.0,1.0,,79.0,2.0,2803.0,70.0,55.0,55.0,26.0,11.0,41.0,52.0,6.0,6.0,9.0,2.0,1.0,13.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,5.0,4.0,5.0,1.0,3.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,6.0,1.0,2.0,6.0,6.0,3.0,2.0,3.0,2.0,1.0,7.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,2.0,16.0,2.0,2.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14442,171272.0,Vlad Dragomir,Vlad,Dragomir,1999-04-24,Romania,Romania,10.0,M,Centre Central Midfielder,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6362,289237.0,Aleksandar Dragovic,Aleksandar,Dragovic,1991-03-06,Austria,Austria,15.0,D,Defender,79,197.0,8.0,90.0,4.0,,32.0,287.0,,9.0,13.0,11.0,3.0,59.0,34.0,1.0,,0.0,1.0,,1.0,,,,,,,,,,,,,1.0,,23.0,50.0,,9.0,1.0,6.0,3.0,1.0,,2.0,3.0,24.0,30.0,42.0,25.0,33.0,7.0,129.0,7.0,,14.0,11.0,,25.0,28.0,16.0,16.0,116.0,81.0,57.0,5.0,14.0,767.0,0.0,,,330.0,8.0,21.0,49.0,6.0,63.0,63.0,,33.0,17.0,9.0,69.0,,1.0,23.0,280.0,8.0,0.0,218.0,16.0,42.0,1.0,1.0,1.0,79740.34655761719,38.0,120.0,19.0,,54.0,337.0,,1.0,1.0,4.0,13.0,,465.0,2.0,1.0,1.0,3.0,3.0,1.0,10.0,,,,14.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.0,2.0,,4.0,3.0,,,,,,4.0,8.0,,,1.0,,2.0,,,,,22.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670,291459.0,Danny Drinkwater,Danny,Drinkwater,1990-03-05,England,England,15.0,M,Midfielder,79,150.0,15.0,181.0,1.0,6.0,16.0,331.0,2.0,3.0,0.0,12.0,5.0,37.0,24.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,4.0,1.0,1.0,5.0,1.0,65.0,37.0,2.0,13.0,2.0,14.0,1.0,1.0,1.0,2.0,2.0,30.0,22.0,7.0,5.0,51.0,10.0,89.0,5.0,1.0,7.0,7.0,1.0,5.0,14.0,8.0,8.0,112.0,27.0,20.0,2.0,1.0,522.0,2.0,3.0,2.0,382.0,2.0,55.0,50.0,11.0,64.0,64.0,4.0,12.0,21.0,13.0,119.0,2.0,1.0,83.0,328.0,8.0,5.0,167.0,25.0,7.0,4.0,2.0,2.0,69564.45373535156,110.0,220.0,2.0,8.0,24.0,385.0,1.0,6.0,2.0,7.0,15.0,3.0,456.0,7.0,3.0,3.0,4.0,8.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
